id,event,kickoff_time,team_h,team_a,team_h_difficulty,team_a_difficulty,finished,finished_provisional,started,minutes
307,31,2026-03-21T15:00:00Z,13,8,3,4,False,False,False,0
308,31,2026-03-21T15:00:00Z,15,17,2,4,False,False,False,0
309,31,2026-03-21T15:00:00Z,18,16,3,3,False,False,False,0
310,31,2026-03-21T15:00:00Z,20,1,4,3,False,False,False,0
311,32,2026-04-11T14:00:00Z,1,4,3,4,False,False,False,0
312,32,2026-04-11T14:00:00Z,5,9,2,3,False,False,False,0
313,32,2026-04-11T14:00:00Z,3,6,3,2,False,False,False,0
314,32,2026-04-11T14:00:00Z,7,13,4,4,False,False,False,0
315,32,2026-04-11T14:00:00Z,8,15,3,3,False,False,False,0
316,32,2026-04-11T14:00:00Z,12,10,3,5,False,False,False,0
317,32,2026-04-11T14:00:00Z,14,11,2,3,False,False,False,0
318,32,2026-04-11T14:00:00Z,16,2,3,3,False,False,False,0
319,32,2026-04-11T14:00:00Z,17,18,3,2,False,False,False,0
320,32,2026-04-11T14:00:00Z,19,20,2,2,False,False,False,0
321,33,2026-04-18T14:00:00Z,2,17,2,4,False,False,False,0
322,33,2026-04-18T14:00:00Z,5,10,3,3,False,False,False,0
323,33,2026-04-18T14:00:00Z,7,14,3,4,False,False,False,0
324,33,2026-04-18T14:00:00Z,8,19,2,3,False,False,False,0
325,33,2026-04-18T14:00:00Z,9,12,4,3,False,False,False,0
326,33,2026-04-18T14:00:00Z,11,20,2,2,False,False,False,0
327,33,2026-04-18T14:00:00Z,13,1,4,4,False,False,False,0
328,33,2026-04-18T14:00:00Z,15,4,3,4,False,False,False,0
329,33,2026-04-18T14:00:00Z,16,3,2,3,False,False,False,0
330,33,2026-04-18T14:00:00Z,18,6,3,3,False,False,False,0
331,34,2026-04-25T14:00:00Z,1,15,3,4,False,False,False,0
332,34,2026-04-25T14:00:00Z,4,11,2,3,False,False,False,0
333,34,2026-04-25T14:00:00Z,6,7,3,3,False,False,False,0
334,34,2026-04-25T14:00:00Z,3,13,4,2,False,False,False,0
335,34,2026-04-25T14:00:00Z,10,2,3,3,False,False,False,0
336,34,2026-04-25T14:00:00Z,12,8,3,5,False,False,False,0
337,34,2026-04-25T14:00:00Z,14,5,3,3,False,False,False,0
338,34,2026-04-25T14:00:00Z,17,16,3,2,False,False,False,0
339,34,2026-04-25T14:00:00Z,19,9,2,2,False,False,False,0
340,34,2026-04-25T14:00:00Z,20,18,3,3,False,False,False,0
341,35,2026-05-02T14:00:00Z,1,10,3,4,False,False,False,0
342,35,2026-05-02T14:00:00Z,2,18,3,4,False,False,False,0
343,35,2026-05-02T14:00:00Z,4,8,3,3,False,False,False,0
344,35,2026-05-02T14:00:00Z,5,19,2,3,False,False,False,0
345,35,2026-05-02T14:00:00Z,7,16,3,4,False,False,False,0
346,35,2026-05-02T14:00:00Z,9,13,4,3,False,False,False,0
347,35,2026-05-02T14:00:00Z,11,3,2,2,False,False,False,0
348,35,2026-05-02T14:00:00Z,14,12,4,3,False,False,False,0
349,35,2026-05-02T14:00:00Z,15,6,3,4,False,False,False,0
350,35,2026-05-02T14:00:00Z,20,17,2,3,False,False,False,0
351,36,2026-05-09T14:00:00Z,6,20,2,3,False,False,False,0
352,36,2026-05-09T14:00:00Z,3,2,3,2,False,False,False,0
353,36,2026-05-09T14:00:00Z,8,9,2,3,False,False,False,0
354,36,2026-05-09T14:00:00Z,10,4,3,3,False,False,False,0
355,36,2026-05-09T14:00:00Z,12,7,3,5,False,False,False,0
356,36,2026-05-09T14:00:00Z,13,5,3,4,False,False,False,0
357,36,2026-05-09T14:00:00Z,16,15,3,3,False,False,False,0
359,36,2026-05-09T14:00:00Z,18,11,2,3,False,False,False,0
358,36,2026-05-09T14:00:00Z,17,14,3,2,False,False,False,0
360,36,2026-05-09T14:00:00Z,19,1,4,2,False,False,False,0
361,37,2026-05-17T14:00:00Z,1,3,2,4,False,False,False,0
362,37,2026-05-17T14:00:00Z,2,12,4,4,False,False,False,0
363,37,2026-05-17T14:00:00Z,4,13,4,3,False,False,False,0
364,37,2026-05-17T14:00:00Z,5,8,3,3,False,False,False,0
365,37,2026-05-17T14:00:00Z,7,18,3,4,False,False,False,0
366,37,2026-05-17T14:00:00Z,9,17,2,3,False,False,False,0
367,37,2026-05-17T14:00:00Z,11,6,3,2,False,False,False,0
368,37,2026-05-17T14:00:00Z,14,16,3,3,False,False,False,0
369,37,2026-05-17T14:00:00Z,15,19,2,4,False,False,False,0
370,37,2026-05-17T14:00:00Z,20,10,3,3,False,False,False,0
