id,first_name,second_name,web_name,team,element_type,now_cost,cost_change_event,cost_change_start,transfers_in_event,transfers_out_event,selected_by_percent,status,news,chance_of_playing_next_round,chance_of_playing_this_round
245,Mykhailo,Mudryk,Mudryk,7,3,50,0,0,99,192,0.0,s,Suspended - unknown return date,0.0,0.0
246,Andrey,Nascimento dos Santos,Andrey Santos,7,3,45,0,0,6330,5125,0.3,a,,,
247,Dário,Luís Essugo,D.Essugo,7,3,45,0,0,491,794,0.1,a,,,
248,Kendry,Páez Andrade,Paez,7,3,45,0,0,0,404,0.0,u,Has joined RC Strasbourg on loan for the rest of the season.,0.0,0.0
249,João Pedro,Junqueira de Jesus,João Pedro,7,4,75,0,0,144875,385088,51.8,a,,,
250,Liam,Delap,Delap,7,4,65,0,0,15916,65676,3.6,a,,,
251,Nicolas,Jackson,N.Jackson,7,4,65,0,0,2704,1453,0.2,a,,100.0,0.0
672,Jorrel,Hato,Hato,7,2,50,0,0,1932,6215,0.3,a,,,
253,Dean,Henderson,Henderson,8,1,50,0,0,35874,28476,7.3,a,,,
254,Walter,Benítez,Benitez,8,1,40,0,0,1833,2138,0.4,a,,,
255,Remi,Matthews,Matthews,8,1,40,0,0,373,579,0.1,a,,,
256,Daniel,Muñoz Mejía,Muñoz,8,2,55,0,0,67633,45524,8.7,a,,,
257,Maxence,Lacroix,Lacroix,8,2,50,0,0,28970,11280,1.4,a,,,
258,Tyrick,Mitchell,Mitchell,8,2,50,0,0,43203,11695,1.7,a,,,
259,Borna,Sosa,Sosa,8,2,50,0,0,802,1832,0.1,a,,,
260,Marc,Guéhi,Guéhi,8,2,45,0,0,126900,50384,13.2,a,,,
261,Chris,Richards,Richards,8,2,45,0,0,24113,10708,1.6,a,,,
262,Chadi,Riad Dnanou,Chadi Riad,8,2,40,0,0,69,116,0.0,i,Knee injury - Unknown return date,0.0,0.0
263,Nathaniel,Clyne,Clyne,8,2,40,0,0,2057,5393,0.6,a,,,
264,Rob,Holding,Holding,8,2,40,0,0,0,1349,0.0,u,Has joined Colorado Rapids permanently.,0.0,0.0
265,Caleb,Kporha,Kporha,8,2,40,0,0,62,579,0.0,i,Back injury - Unknown return date,0.0,0.0
266,Eberechi,Eze,Eze,8,3,75,0,0,90960,138510,10.5,a,,,
267,Ismaïla,Sarr,Sarr,8,3,65,0,0,23892,57821,4.6,a,,,
268,Cheick,Doucouré,Doucouré,8,3,50,0,0,28,94,0.0,i,Knee injury - Unknown return date,0.0,0.0
269,Romain,Esse,Esse,8,3,50,0,0,1660,4029,0.2,a,,,
270,Will,Hughes,Hughes,8,3,50,0,0,769,1271,0.1,a,,,
271,Daichi,Kamada,Kamada,8,3,50,0,0,35,554,0.0,i,Knee injury - Expected back 24 Aug,0.0,0.0
272,Jefferson,Lerma Solís,Lerma,8,3,50,0,0,192,788,0.1,a,,,
273,Adam,Wharton,Wharton,8,3,50,0,0,6683,6181,0.6,a,,,
274,Asher,Agbinone,Agbinone,8,3,45,0,0,396,717,0.1,a,,,
275,Naouirou,Ahamada,Ahamada,8,3,45,0,0,318,537,0.0,a,,,
276,Justin,Devenny,Devenny,8,3,45,0,0,6368,16564,1.7,a,,,
277,Malcolm,Ebiowei,Ebiowei,8,3,45,0,0,0,281,0.0,u,Has joined Blackpool permanently.,0.0,0.0
278,Jesurun,Rak-Sakyi,J.Rak-Sakyi,8,3,45,0,0,470,863,0.1,a,,,
